node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total consumption (m3),total-check,diff
fips05137,178.9554752,0.060918072,988.2156618,3603.127807,3967.596434,5882.859337,8013.859699,6624.339112,1562.74531,1418.392489,378.7160243,41.62263723,32660.4909,32660.4909,0
fips05139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips05143,1523.702484,1280.916526,5076.94392,97.4510992,1677.1946,5684.922927,3426.892075,66.52726474,119.6232746,205.5004952,923.8826513,530.7482931,20614.30561,20614.30561,0
fips05145,42057.63374,41438.20547,1900637.089,7863929.506,16628942.43,33016540.5,28313299.44,16693119.92,2348565.329,462230.2516,126815.5209,43732.67344,107481308.5,107481308.5,1.39E-16
fips05147,161844.8662,126440.3615,10353800.84,38290780.62,85665951.08,137315443.8,103281438.4,42324240.29,4442581.404,2108218.876,546363.2594,175117.7761,424792221.6,424792221.6,-2.81E-16
fips05149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fips06001,40671.51341,33826.61754,77649.54629,197594.0869,685582.19,1912677.81,2111017.746,1877644.812,1162976.496,655357.8912,179575.1406,61868.18719,8996442.038,8996442.038,2.07E-16
fips06003,32909.7066,28857.53922,61856.31013,123630.2634,630931.5976,1438252.429,1837421.658,1787081.974,1258233.678,318614.4108,99709.52153,37915.42181,7655414.51,7655414.51,1.22E-16
fips06005,3522833.614,1523911.26,3100662.225,118044.2555,1595748.342,5599143.876,4771267.895,262171.7486,169874.0013,385989.9221,929961.1972,674098.2858,22653706.62,22653706.62,-1.64E-16
fips06007,1258884.327,1237683.564,12918839.26,35896954.62,105950668.6,174601977.4,229908325.8,163913835,51364350.54,22930098.58,6137920.516,1898133.554,808017671.7,808017671.7,1.48E-16
fips06009,27471.93655,26901.21607,206336.0988,456882.197,1326258.386,2000210.479,2446709.527,1804359.662,717164.1601,366769.5422,138399.1197,45877.3913,9563339.715,9563339.715,0
fips06011,961553.4734,960290.6451,22208411.97,56151164.52,115613434.9,163979364.8,184620754.6,123276579.4,51001980.45,18552333.91,4684147.688,1405472.117,743415488.4,743415488.4,-1.60E-16
fips06013,13369042.86,5835844.669,11657032.23,446904.4422,6054888.843,21203100.74,18425280.42,951391.2447,632432.2947,1483490.883,3687802.44,2587459.515,86334670.58,86334670.58,1.73E-16
fips06015,79756.00854,127868.9712,232818.5128,482250.6212,1523558.159,2805372.376,4350189.403,3821269.269,2329821.403,719490.6787,137735.3463,45647.56214,16655778.31,16655778.31,0
fips06017,80360.94109,96366.77074,466651.3951,1078355.196,2627816.891,5180445.881,6467432.402,5860232.181,2843407.791,3032856.157,585403.8054,170903.5738,28490232.99,28490232.99,0
fips06019,19738275.56,29728508.04,76060959.27,102374037.3,192949196.3,251905885.2,305305070.1,218749354.5,126888182.5,116376470.2,82039543.49,27479765.25,1549595248,1549595248,-1.54E-16
