Date,Week,Month,Year,Region,Diesel Price
10/21/2013,42,10,2013,New England,4.032
10/21/2013,42,10,2013,Central Atlantic,3.961
10/21/2013,42,10,2013,Lower Atlantic,3.840
10/21/2013,42,10,2013,Midwest,3.853
10/21/2013,42,10,2013,Gulf Coast,3.800
10/21/2013,42,10,2013,Rocky Mountains,3.875
10/21/2013,42,10,2013,West Coast,4.049
10/21/2013,42,10,2013,California,4.129
10/21/2013,42,10,2013,West Coast exc California,3.954
10/28/2013,43,10,2013,US,3.870
10/28/2013,43,10,2013,East Coast,3.889
10/28/2013,43,10,2013,New England,4.020
10/28/2013,43,10,2013,Central Atlantic,3.951
10/28/2013,43,10,2013,Lower Atlantic,3.818
10/28/2013,43,10,2013,Midwest,3.837
10/28/2013,43,10,2013,Gulf Coast,3.783
10/28/2013,43,10,2013,Rocky Mountains,3.865
10/28/2013,43,10,2013,West Coast,4.036
10/28/2013,43,10,2013,California,4.117
10/28/2013,43,10,2013,West Coast exc California,3.941
11/04/2013,44,11,2013,US,3.857
11/04/2013,44,11,2013,East Coast,3.878
11/04/2013,44,11,2013,New England,4.008
11/04/2013,44,11,2013,Central Atlantic,3.938
11/04/2013,44,11,2013,Lower Atlantic,3.808
11/04/2013,44,11,2013,Midwest,3.826
11/04/2013,44,11,2013,Gulf Coast,3.769
11/04/2013,44,11,2013,Rocky Mountains,3.857
11/04/2013,44,11,2013,West Coast,4.015
11/04/2013,44,11,2013,California,4.092
11/04/2013,44,11,2013,West Coast exc California,3.923
11/11/2013,45,11,2013,US,3.832
11/11/2013,45,11,2013,East Coast,3.855
11/11/2013,45,11,2013,New England,3.991
11/11/2013,45,11,2013,Central Atlantic,3.903
11/11/2013,45,11,2013,Lower Atlantic,3.793
11/11/2013,45,11,2013,Midwest,3.798
11/11/2013,45,11,2013,Gulf Coast,3.752
11/11/2013,45,11,2013,Rocky Mountains,3.836
11/11/2013,45,11,2013,West Coast,3.976
11/11/2013,45,11,2013,California,4.055
11/11/2013,45,11,2013,West Coast exc California,3.881
11/18/2013,46,11,2013,US,3.822
11/18/2013,46,11,2013,East Coast,3.841
11/18/2013,46,11,2013,New England,3.981
11/18/2013,46,11,2013,Central Atlantic,3.890
11/18/2013,46,11,2013,Lower Atlantic,3.779
11/18/2013,46,11,2013,Midwest,3.794
11/18/2013,46,11,2013,Gulf Coast,3.745
11/18/2013,46,11,2013,Rocky Mountains,3.836
11/18/2013,46,11,2013,West Coast,3.954
11/18/2013,46,11,2013,California,4.022
11/18/2013,46,11,2013,West Coast exc California,3.872
11/25/2013,47,11,2013,US,3.844
11/25/2013,47,11,2013,East Coast,3.870
11/25/2013,47,11,2013,New England,4.003
11/25/2013,47,11,2013,Central Atlantic,3.919
11/25/2013,47,11,2013,Lower Atlantic,3.808
11/25/2013,47,11,2013,Midwest,3.829
11/25/2013,47,11,2013,Gulf Coast,3.753
11/25/2013,47,11,2013,Rocky Mountains,3.837
11/25/2013,47,11,2013,West Coast,3.954
11/25/2013,47,11,2013,California,4.023
11/25/2013,47,11,2013,West Coast exc California,3.872
12/02/2013,48,11,2013,US,3.883
12/02/2013,48,11,2013,East Coast,3.906
12/02/2013,48,11,2013,New England,4.040
12/02/2013,48,11,2013,Central Atlantic,3.949
12/02/2013,48,11,2013,Lower Atlantic,3.848
12/02/2013,48,11,2013,Midwest,3.879
12/02/2013,48,11,2013,Gulf Coast,3.780
12/02/2013,48,11,2013,Rocky Mountains,3.858
12/02/2013,48,11,2013,West Coast,3.998
12/02/2013,48,11,2013,California,4.056
12/02/2013,48,11,2013,West Coast exc California,3.929
12/09/2013,49,12,2013,US,3.879
12/09/2013,49,12,2013,East Coast,3.912
12/09/2013,49,12,2013,New England,4.066
12/09/2013,49,12,2013,Central Atlantic,3.972
12/09/2013,49,12,2013,Lower Atlantic,3.837
12/09/2013,49,12,2013,Midwest,3.870
12/09/2013,49,12,2013,Gulf Coast,3.773
12/09/2013,49,12,2013,Rocky Mountains,3.851
12/09/2013,49,12,2013,West Coast,3.993
12/09/2013,49,12,2013,California,4.066
12/09/2013,49,12,2013,West Coast exc California,3.906
12/16/2013,50,12,2013,US,3.871
12/16/2013,50,12,2013,East Coast,3.915
12/16/2013,50,12,2013,New England,4.064
12/16/2013,50,12,2013,Central Atlantic,3.977
12/16/2013,50,12,2013,Lower Atlantic,3.840
12/16/2013,50,12,2013,Midwest,3.852
12/16/2013,50,12,2013,Gulf Coast,3.766
12/16/2013,50,12,2013,Rocky Mountains,3.852
12/16/2013,50,12,2013,West Coast,3.982
12/16/2013,50,12,2013,California,4.066
12/16/2013,50,12,2013,West Coast exc California,3.884
12/23/2013,51,12,2013,US,3.873
12/23/2013,51,12,2013,East Coast,3.919
12/23/2013,51,12,2013,New England,4.069
12/23/2013,51,12,2013,Central Atlantic,3.988
12/23/2013,51,12,2013,Lower Atlantic,3.839
12/23/2013,51,12,2013,Midwest,3.847
12/23/2013,51,12,2013,Gulf Coast,3.772
12/23/2013,51,12,2013,Rocky Mountains,3.853
12/23/2013,51,12,2013,West Coast,3.985
12/23/2013,51,12,2013,California,4.073
12/23/2013,51,12,2013,West Coast exc California,3.883
12/30/2013,52,12,2013,US,3.903
12/30/2013,52,12,2013,East Coast,3.943
12/30/2013,52,12,2013,New England,4.111
12/30/2013,52,12,2013,Central Atlantic,4.016
12/30/2013,52,12,2013,Lower Atlantic,3.856
12/30/2013,52,12,2013,Midwest,3.887
12/30/2013,52,12,2013,Gulf Coast,3.789
12/30/2013,52,12,2013,Rocky Mountains,3.889
12/30/2013,52,12,2013,West Coast,4.025
12/30/2013,52,12,2013,California,4.104
12/30/2013,52,12,2013,West Coast exc California,3.930
01/06/2014,1,1,2014,US,3.910
01/06/2014,1,1,2014,East Coast,3.950
01/06/2014,1,1,2014,New England,4.115
01/06/2014,1,1,2014,Central Atlantic,4.046
01/06/2014,1,1,2014,Lower Atlantic,3.847
01/06/2014,1,1,2014,Midwest,3.888
01/06/2014,1,1,2014,Gulf Coast,3.802
01/06/2014,1,1,2014,Rocky Mountains,3.901
01/06/2014,1,1,2014,West Coast,4.034
01/06/2014,1,1,2014,California,4.119
